Country,State,Year,Month,Name Of The Fertilizer Used,Required Fertilizer Quantity (UOM:MT(Metrictonne)),Available Fertilizer Quantity (UOM:MT(Metrictonne))
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2014","October, 2014",Muriate of Potash (MOP) or Potassium Chloride,0.000,728.037
India,Jharkhand,"Financial Year (Apr - Mar), 2013","September, 2013",UREA,30000.000,9127.050
India,Jharkhand,"Financial Year (Apr - Mar), 2014","February, 2015",Triple superphosphate,0.000,0.000
India,Punjab,"Financial Year (Apr - Mar), 2013","April, 2013",Muriate of Potash (MOP) or Potassium Chloride,2000.000,10290.450
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2013","March, 2014",Triple superphosphate,0.000,8443.850
India,Gujarat,"Financial Year (Apr - Mar), 2014","February, 2015",Muriate of Potash (MOP) or Potassium Chloride,16000.000,6366.350
India,Puducherry,"Financial Year (Apr - Mar), 2013","July, 2013",Monoammonium Phosphate,0.000,0.000
India,Jharkhand,"Financial Year (Apr - Mar), 2012","April, 2012",Muriate of Potash (MOP) or Potassium Chloride,2500.000,163.250
India,Ladakh,"Financial Year (Apr - Mar), 2012","November, 2012",Triple superphosphate,0.000,0.000
India,Puducherry,"Financial Year (Apr - Mar), 2013","January, 2014",Triple superphosphate,0.000,0.000
India,Meghalaya,"Financial Year (Apr - Mar), 2012","July, 2012",UREA,250.000,0.000
India,Goa,"Financial Year (Apr - Mar), 2012","May, 2012",Triple superphosphate,0.000,0.000
India,Meghalaya,"Financial Year (Apr - Mar), 2012","April, 2012",UREA,1200.000,0.000
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2012","July, 2012",UREA,14634.883,223.816
India,Karnataka,"Financial Year (Apr - Mar), 2014","June, 2014",Diammonium Phosphate,40000.000,25715.080
India,Gujarat,"Financial Year (Apr - Mar), 2015","January, 2016",Diammonium Phosphate,0.000,7912.890
India,Kerala,"Financial Year (Apr - Mar), 2012","May, 2012",Monoammonium Phosphate,0.000,0.000
India,Nagaland,"Financial Year (Apr - Mar), 2014","August, 2014",UREA,0.000,0.000
India,Karnataka,"Financial Year (Apr - Mar), 2015","March, 2016","nitrogen, phosphorus, and potassium",95000.000,61609.600
India,Goa,"Financial Year (Apr - Mar), 2013","November, 2013","nitrogen, phosphorus, and potassium",1000.000,330.000
India,Gujarat,"Financial Year (Apr - Mar), 2012","October, 2012",Muriate of Potash (MOP) or Potassium Chloride,20000.000,1239.200
India,Rajasthan,"Financial Year (Apr - Mar), 2015","July, 2015",Diammonium Phosphate,0.000,1457.250
India,Mizoram,"Financial Year (Apr - Mar), 2013","February, 2014",Triple superphosphate,0.000,0.000
India,Puducherry,"Financial Year (Apr - Mar), 2015","December, 2015",Diammonium Phosphate,0.000,0.000
India,Rajasthan,"Financial Year (Apr - Mar), 2012","July, 2012",Diammonium Phosphate,10000.000,4985.530
India,Chandigarh,"Financial Year (Apr - Mar), 2015","July, 2015",Muriate of Potash (MOP) or Potassium Chloride,0.000,0.000
India,Gujarat,"Financial Year (Apr - Mar), 2015","September, 2015",Diammonium Phosphate,0.000,3088.100
India,Sikkim,"Financial Year (Apr - Mar), 2014","February, 2015",Muriate of Potash (MOP) or Potassium Chloride,0.000,0.000
India,Mizoram,"Financial Year (Apr - Mar), 2014","February, 2015",UREA,0.000,0.000
India,Manipur,"Financial Year (Apr - Mar), 2013","October, 2013",UREA,7800.000,0.000
India,Puducherry,"Financial Year (Apr - Mar), 2014","March, 2015",Triple superphosphate,0.000,0.000
India,Mizoram,"Financial Year (Apr - Mar), 2014","August, 2014",Muriate of Potash (MOP) or Potassium Chloride,0.000,0.000
India,Sikkim,"Financial Year (Apr - Mar), 2013","September, 2013","nitrogen, phosphorus, and potassium",0.000,0.000
